
09/11/2016 06:00, 58.0, 60, 0.00, 100, 58, 60, 
09/11/2016 05:00, 58.0, 60, 0.00, 100, 58, 60, 
09/11/2016 04:00, 58.0, 59, 0.05, 100, 58, 60, 
09/11/2016 03:00, 61.0, 34, 0.00, 100, 61, 60, 
09/11/2016 02:00, 68.0, 0, 0.00, 100, 68, 60, 
09/11/2016 01:00, 69.0, 0, 0.00, 100, 69, 60, 
09/11/2016 00:00, 70.0, 0, 0.00, 100, 70, 60, 
09/09/2016 23:00, 66.0, 0, 0.00, 100, 66, 60, 
09/09/2016 22:00, 67.0, 0, 0.00, 100, 67, 60, 
09/09/2016 21:00, 69.0, 0, 0.00, 100, 69, 60, 
09/09/2016 20:00, 69.0, 0, 0.00, 100, 69, 60, 
09/09/2016 19:00, 75.0, 0, 0.00, 92, 73, 60, 
09/09/2016 18:00, 79.0, 0, 0.00, 83, 73, 0, 
09/09/2016 17:00, 83.0, 0, 0.00, 83, 77, 0, 
09/09/2016 16:00, 83.0, 0, 0.00, 88, 79, 0, 
09/09/2016 15:00, 81.0, 0, 0.01, 92, 78, 60, 
09/09/2016 14:00, 76.0, 0, 0.00, 100, 76, 60, 
09/09/2016 13:00, 74.0, 0, 0.00, 100, 74, 60, 
09/09/2016 12:00, 72.0, 0, 0.00, 100, 72, 60, 
09/09/2016 11:00, 72.0, 8, 0.00, 100, 72, 60, 
09/09/2016 10:00, 71.0, 0.02, 100, 71, 60, 
09/09/2016 09:00, 71.0, 6, 0.00, 100, 71, 60, 
09/09/2016 08:00, 72.0, 50, 0.00, 100, 72, 60, 
09/09/2016 07:00, 67.0, 60, 0.01, 100, 67, 60, 
09/09/2016 06:00, 68.0, 60, 0.00, 100, 68, 60, 
09/09/2016 05:00, 69.0, 0.00, 100, 69, 60, 
09/09/2016 04:00, 70.0, 60, 0.00, 100, 70, 60, 
09/09/2016 03:00, 70.0, 60, 0.00, 100, 70, 60, 
09/09/2016 02:00, 70.0, 60, 0.00, 100, 70, 60, 
09/09/2016 01:00, 70.0, 59, 0.00, 100, 70, 60, 
09/09/2016 00:00, 70.0, 59, 0.00, 100, 70, 60, 
09/07/2016 23:00, 71.0, 0, 0.00, 100, 71, 60, 
09/07/2016 22:00, 71.0, 0, 0.00, 100, 71, 60, 
09/07/2016 21:00, 73.0, 0, 0.00, 100, 73, 60, 
09/07/2016 20:00, 75.0, 0, 0.00, 100, 75, 60, 
09/07/2016 19:00, 80.0, 0, 0.00, 97, 79, 60, 
09/07/2016 18:00, 84.0, 0, 0.00, 94, 82, 60, 
09/07/2016 17:00, 85.0, 0.00, 85, 80, 0, 
09/07/2016 16:00, 78.0, 16, 0.02, 100, 78, 60, 
09/07/2016 15:00, 80.0, 33, 0.04, 100, 80, 60, 
09/07/2016 14:00, 86.0, 0, 0.00, 81, 79, 0, 
09/07/2016 13:00, 87.0, 0, 0.00, 82, 81, 0, 
09/07/2016 12:00, 85.0, 0, 0.00, 89, 81, 0, 
09/07/2016 11:00, 78.0, 0, 0.00, 100, 78, 60, 
09/07/2016 10:00, 78.0, 0, 0.00, 100, 78, 60, 
09/07/2016 09:00, 72.0, 4, 0.00, 100, 72, 60, 
09/07/2016 08:00, 66.0, 51, 0.00, 100, 66, 60, 
09/07/2016 07:00, 64.0, 60, 0.00, 100, 64, 60, 
09/07/2016 06:00, 64.0, 60, 0.00, 100, 64, 60, 
09/07/2016 05:00, 64.0, 43, 0.18, 100, 64, 60, 
09/07/2016 04:00, 65.0, 0, 0.00, 100, 65, 60, 
09/07/2016 03:00, 64.0, 0, 0.00, 100, 64, 60, 
09/07/2016 02:00, 65.0, 0, 0.00, 100, 65, 60, 
09/07/2016 01:00, 67.0, 0, 0.00, 100, 67, 60, 
09/07/2016 00:00, 67.0, 0, 0.00, 100, 67, 60, 
09/05/2016 23:00, 59.0, 0, 0.00, 100, 59, 60, 
09/05/2016 22:00, 61.0, 0, 0.00, 100, 61, 60, 
09/05/2016 21:00, 64.0, 0, 0.00, 100, 64, 60, 
09/05/2016 20:00, 68.0, 0, 0.00, 93, 66, 60, 
09/05/2016 19:00, 76.0, 0, 0.00, 72, 66, 0, 
09/05/2016 18:00, 81.0, 0, 0.00, 60, 66, 0, 
09/05/2016 17:00, 85.0, 0, 0.00, 53, 66, 0, 
09/05/2016 16:00, 84.0, 0, 0.00, 57, 67, 0, 
09/05/2016 15:00, 84.0, 0, 0.00, 54, 66, 0, 
09/05/2016 14:00, 82.0, 0, 0.00, 56, 65, 0, 
09/05/2016 13:00, 81.0, 0, 0.00, 59, 65, 0, 
09/05/2016 12:00, 80.0, 0, 0.00, 66, 68, 0, 
09/05/2016 11:00, 80.0, 0, 0.00, 66, 68, 0, 
09/05/2016 10:00, 76.0, 0, 0.00, 74, 67, 0, 
09/05/2016 09:00, 67.0, 0, 0.00, 91, 64, 60, 
09/05/2016 08:00, 62.0, 0, 0.00, 100, 62, 60, 
09/05/2016 07:00, 54.0, 0, 0.00, 100, 54, 60, 
09/05/2016 06:00, 54.0, 0, 0.00, 100, 54, 60, 
09/05/2016 05:00, 54.0, 0, 0.00, 100, 54, 60, 
09/05/2016 04:00, 53.0, 0, 0.00, 100, 53, 60, 
09/05/2016 03:00, 57.0, 0, 0.00, 100, 57, 60, 
09/05/2016 02:00, 55.0, 0, 0.00, 100, 55, 60, 
09/05/2016 01:00, 55.0, 0, 0.00, 100, 55, 60, 
09/05/2016 00:00, 56.0, 0, 0.00, 100, 56, 60, 
09/03/2016 23:00, 52.0, 0, 0.00, 100, 52, 60, 
09/03/2016 22:00, 52.0, 0, 0.00, 100, 52, 60, 
09/03/2016 21:00, 56.0, 0, 0.00, 100, 56, 60, 
09/03/2016 20:00, 58.0, 0, 0.00, 100, 58, 60, 
09/03/2016 19:00, 67.0, 0, 0.00, 76, 59, 0, 
09/03/2016 18:00, 72.0, 0, 0.00, 65, 60, 0, 
09/03/2016 17:00, 74.0, 0, 0.00, 61, 60, 0, 
09/03/2016 16:00, 74.0, 0, 0.00, 60, 59, 0, 
09/03/2016 15:00, 73.0, 0, 0.00, 58, 57, 0, 
